text_string,occurs_100k
london,21.28585
bloomsbury,0.29088
hampstead,0.23636
soho,0.20183
hyde park,0.18515
oxford street,0.18091
chelsea,0.17779
covent garden,0.15551
west end,0.13732
kensington gardens,0.13438
greenwich,0.11483
park lane,0.11117
grosvenor square,0.10809
putney,0.10713
chatham,0.10375
southampton street,0.10315
belgravia,0.09407
westminster,0.0919
knightsbridge,0.0882
trafalgar square,0.08599
hammersmith,0.08549
paddington,0.08492
portland place,0.07712
pall mall,0.07617
buckingham palace,0.0755
highgate,0.07542
bayswater,0.07453
berkeley square,0.0742
fulham,0.07179
south kensington,0.0697
eaton square,0.06885
camden town,0.06711
east end,0.0651
leicester square,0.06271
tottenham court road,0.06206
piccadilly,0.06082
haymarket,0.06042
belgrave square,0.0598
cavendish square,0.05615
portman square,0.05601
clapham,0.05179
scotland yard,0.05153
london bridge,0.05146
curzon street,0.05131
st james s park,0.05068
great marlborough street,0.04981
sloane street,0.04819
victoria station,0.04699
holborn,0.04633
mayfair,0.04473
streatham,0.04426
battersea,0.044
chiswick,0.04354
regent street,0.04196
jermyn street,0.04079
hyde park corner,0.04063
trafalgar,0.03998
shaftesbury avenue,0.03989
fairacre,0.03947
fulham road,0.03899
russell square,0.03874
charing cross road,0.03871
poland street,0.03767
st james s square,0.03758
gower street,0.03688
holland park,0.03685
lombard street,0.03537
edgware road,0.03481
primrose hill,0.03447
bedford square,0.03332
vauxhall bridge road,0.03297
south audley street,0.03285
lancaster gate,0.03126
euston,0.03094
westminster bridge,0.0309
albemarle street,0.03046
west kensington,0.02954
kentish town,0.029
st john s wood,0.02802
chancery lane,0.02781
hampstead heath,0.02765
grosvenor street,0.02755
liverpool street,0.02675
willesden,0.02644
st pancras,0.02608
ebury street,0.02608
soho square,0.02551
hatton garden,0.02542
sloane square,0.02497
wimpole street,0.02468
zoological gardens,0.02448
waterloo bridge,0.02441
hoxton,0.02423
fitzroy square,0.02397
marylebone,0.02273
clerkenwell,0.02269
dorset street,0.02268
euston road,0.02255
welbeck street,0.02193
campden hill,0.02183
finchley road,0.02181
wardour street,0.02177
kensington high street,0.02159
clarges street,0.02135
notting hill gate,0.02122
bruton street,0.02101
cromwell road,0.02091
regent s park,0.02086
fleet street,0.02082
lowndes square,0.02042
brompton road,0.02016
waterloo station,0.02012
camberwell,0.02011
bryanston square,0.02011
mortlake,0.01984
downing street,0.01979
bayswater road,0.01964
eltham,0.01937
albert hall,0.01937
battersea park,0.01925
onslow square,0.01909
portobello road,0.01904
shoreditch,0.01901
belgrave street,0.01848
ludgate hill,0.0184
belsize park,0.01818
tottenham,0.01712
balham,0.01678
bulstrode,0.01663
dulwich,0.01657
wigmore street,0.01653
