text_string,occurs_100k
london,14.88203
westminster,0.17918
chatham,0.17103
soho,0.14683
hampstead,0.13189
hyde park,0.12821
greenwich,0.11634
covent garden,0.10276
scotland yard,0.08921
west end,0.08839
chelsea,0.08779
pall mall,0.08566
london bridge,0.08548
oxford street,0.08544
trafalgar square,0.08421
paddington,0.07122
buckingham palace,0.06859
haymarket,0.06742
holborn,0.0652
fleet street,0.06209
trafalgar,0.06026
hammersmith,0.05885
knightsbridge,0.05775
fulham,0.05416
battersea,0.0528
leicester square,0.05135
park lane,0.04849
east end,0.04778
putney,0.04617
dulwich,0.04562
clerkenwell,0.04379
highgate,0.04325
camden town,0.04237
south kensington,0.04222
wapping,0.04051
tottenham court road,0.04019
tate gallery,0.03927
downing street,0.03921
kensington gardens,0.03914
aldgate,0.037
bloomsbury,0.03699
chancery lane,0.03694
st james s park,0.03572
belgravia,0.03445
lombard street,0.03351
grosvenor square,0.0335
shoreditch,0.0334
westminster hall,0.03336
bayswater,0.03219
piccadilly,0.03183
cheapside,0.03118
westminster bridge,0.03092
euston,0.0287
berkeley square,0.02853
shaftesbury avenue,0.02821
zoological gardens,0.02716
jermyn street,0.02567
hyde park corner,0.02483
vauxhall bridge road,0.02472
southampton street,0.0245
hatton garden,0.02428
streatham,0.0237
old bailey,0.02369
spitalfields,0.02329
charing cross road,0.02296
white hall,0.02272
st james s square,0.02215
eastcheap,0.02155
soho square,0.02153
bedford square,0.02138
westminster abbey,0.02029
mayfair,0.02025
euston road,0.02004
victoria station,0.01995
kentish town,0.01963
marylebone,0.01958
liverpool street,0.01928
paternoster square,0.0192
fulham road,0.01885
portman square,0.0187
ludgate hill,0.01846
russell square,0.01819
new southgate,0.01808
eaton square,0.01804
edgware road,0.01797
wardour street,0.01785
belsize,0.01784
waterloo bridge,0.01767
limehouse,0.01742
cromwell road,0.01717
mortlake,0.01709
garamond,0.01701
clapham,0.01694
tottenham,0.01693
bermondsey,0.01673
hampstead heath,0.01609
athole,0.01599
londra,0.01595
moorfields,0.01542
great russell street,0.01514
midland hotel,0.01499
