text_string,occurs_100k
london,20.03159
hampstead,0.30094
soho,0.24727
hyde park,0.20625
covent garden,0.16565
west end,0.14861
greenwich,0.14517
oxford street,0.13946
chelsea,0.13625
pall mall,0.13612
grosvenor square,0.13435
westminster,0.13146
london bridge,0.11175
park lane,0.11131
scotland yard,0.10556
belgravia,0.10496
trafalgar square,0.104
chatham,0.10086
kensington gardens,0.09867
bayswater,0.0962
haymarket,0.08778
paddington,0.08716
knightsbridge,0.08675
bloomsbury,0.08572
buckingham palace,0.08327
holborn,0.08219
east end,0.08212
leicester square,0.07625
hammersmith,0.07447
camden town,0.07269
cavendish square,0.07093
piccadilly,0.06931
putney,0.06872
highgate,0.06872
berkeley square,0.06835
eaton square,0.06221
lombard street,0.06043
southampton street,0.05894
fulham,0.0575
jermyn street,0.05611
south kensington,0.05484
portland place,0.05417
st james s park,0.05323
battersea,0.05297
st james s square,0.05178
clerkenwell,0.0515
pentonville,0.05049
tottenham court road,0.05028
hyde park corner,0.04689
tavistock,0.04643
downing street,0.04606
fleet street,0.04419
mayfair,0.04303
westminster bridge,0.04128
clapham,0.04083
charing cross road,0.04069
shoreditch,0.04019
victoria station,0.04016
regent street,0.03953
waterloo bridge,0.03915
chancery lane,0.03822
portman square,0.03761
russell square,0.03714
trafalgar,0.03652
west hill,0.03651
st john s wood,0.03574
sloane street,0.03506
grosvenor street,0.03494
belgrave square,0.03461
westminster hall,0.03456
liverpool street,0.03402
shaftesbury avenue,0.03287
streatham,0.03265
euston road,0.03168
fulham road,0.03158
bedford square,0.03077
zoological gardens,0.03074
old bailey,0.03011
spitalfields,0.02979
vauxhall bridge road,0.02977
dulwich,0.02947
curzon street,0.02929
st pancras,0.02897
aldgate,0.02874
mortlake,0.02743
hoxton,0.02669
kentish town,0.02652
edgware road,0.02565
westminster abbey,0.0255
clarges street,0.02533
marylebone,0.02505
euston,0.02463
ludgate hill,0.02449
golden square,0.02447
gower street,0.02425
willesden,0.02393
chiswick,0.02387
cheapside,0.02378
limehouse,0.02358
