text_string,formatted_address,location_type,occurs_100k
london,"London, UK",locality,19.02081
hampstead,"Hampstead, London NW3, UK",neighborhood,0.21909
soho,"Soho, London, UK",political,0.20642
hyde park,"Hyde Park, London W2, UK",park,0.17796
chelsea,"Chelsea, London, UK",neighborhood,0.14273
greenwich,"Greenwich, London SE10, UK",neighborhood,0.1423
covent garden,"Covent Garden, London WC2E, UK",sublocality_level_1,0.14172
westminster,"Palace of Westminster, Westminster, London SW1A 0AA, UK",point_of_interest,0.13541
oxford street,"Oxford St, London, UK",route,0.13442
west end,"West End House, 91-92 Dean St, Soho, London W1D 3SY, UK",premise,0.13121
chatham,"Chatham House, 10 St James's Square, St. James's, London SW1Y 4LE, UK",establishment,0.12387
bloomsbury,"Bloomsbury Square Gardens, London WC1A, UK",park,0.11359
pall mall,"Pall Mall, St. James's, London, UK",route,0.1022
park lane,"Park Ln, London W1K, UK",route,0.0984
grosvenor square,"Grosvenor Square, Mayfair, London W1K, UK",route,0.09541
kensington gardens,"Kensington Gardens, London W2 2UH, UK",park,0.09085
trafalgar square,"Trafalgar Square, Westminster, London WC2N 5DN, UK",point_of_interest,0.09069
scotland yard,"Metropolitan Police, New Scotland Yard, 8-10 Broadway, Westminster, London SW1H 0BG, UK",police,0.09005
london bridge,"London Bridge, London SE1, UK",point_of_interest,0.0884
paddington,"Paddington Station, Praed St, London W2, UK",train_station,0.08478
putney,"Putney High St, London SW15, UK",route,0.08198
belgravia,"Belgravia, London, UK",neighborhood,0.08112
buckingham palace,"Buckingham Palace, London SW1A 1AA, UK",point_of_interest,0.0793
knightsbridge,"Knightsbridge, London, UK",neighborhood,0.07891
hammersmith,"Hammersmith, London W6, UK",neighborhood,0.07786
east end,"East End of London, 223 225 Whitechapel Road,Shadwell,London,E1 1DB, London E1, UK",point_of_interest,0.07191
haymarket,"Haymarket, London SW1Y, UK",route,0.07189
highgate,"Highgate, London N6, UK",neighborhood,0.07187
bayswater,"Bayswater Rd, London, UK",route,0.06959
leicester square,"Leicester Square, London WC2H, UK",route,0.0675
holborn,"Holborn Station, London WC2B",subway_station,0.0647
southampton street,"Southampton St, London WC2E, UK",route,0.06283
camden town,"Camden Town, London NW1, UK",neighborhood,0.06268
fulham,"Fulham, London, UK",neighborhood,0.05977
berkeley square,"Berkeley Square, Mayfair, London W1J, UK",route,0.05771
piccadilly,"Piccadilly, London W1J, UK",route,0.05683
south kensington,"South Kensington, London SW7, UK",neighborhood,0.05482
tottenham court road,"Tottenham Court Rd, London, UK",route,0.05273
battersea,"Battersea, London SW11, UK",neighborhood,0.05246
jermyn street,"Jermyn St, London, UK",route,0.05236
eaton square,"Eaton Square, Belgravia, London SW1W, UK",route,0.05205
portland place,"Portland Pl, Marylebone, London W1B, UK",route,0.05062
st james s park,"St James's Park, London SW1A 2BJ, UK",park,0.04769
fleet street,"Fleet St, London EC4A, UK",route,0.04616
portman square,"Portman Square, Marylebone, London W1U, UK",park,0.04259
lombard street,"Lombard St, London EC3V, UK",route,0.04232
cavendish square,"Cavendish Square, Marylebone, London W1G, UK",route,0.04175
shoreditch,"Shoreditch, London N1, UK",neighborhood,0.0409
victoria station,"Victoria Station, Victoria St, London SW1E 5ND, UK",train_station,0.04062
russell square,"Russell Square, London WC1B, UK",park,0.04031
belgrave square,"Belgrave Square, Belgravia, London SW1X, UK",route,0.04028
hyde park corner,"Hyde Park Corner, London W1J",subway_station,0.03885
downing street,"10 Downing Street, 10 Downing St, London SW1A 2AA, UK",point_of_interest,0.03849
trafalgar,"Trafalgar Square, Westminster, London WC2N 5DN, UK",point_of_interest,0.03805
st james s square,"London Executive Offices, 33 St James's Square, St. James's, London SW1Y 4JS, UK",real_estate_agency,0.03741
curzon street,"Curzon St, Mayfair, London W1J, UK",route,0.03727
charing cross road,"Charing Cross Rd, London, UK",route,0.03653
mayfair,"Grosvenor Square, Mayfair, London W1K, UK",route,0.03609
clerkenwell,"Clerkenwell, London EC1V, UK",neighborhood,0.0355
westminster bridge,"Westminster Bridge, London SE1, UK",point_of_interest,0.03464
clapham,"Clapham, London SW4, UK",neighborhood,0.03429
shaftesbury avenue,"Shaftesbury Ave, London, UK",route,0.03398
streatham,"Streatham, London SW16, UK",neighborhood,0.03359
chancery lane,"Chancery Ln, London WC2A, UK",route,0.03269
hoxton,"Hoxton, London N1, UK",neighborhood,0.03114
fulham road,"Fulham Rd, London, UK",route,0.0309
regent street,"Regent St, London, UK",route,0.03071
eltham,"Eltham, London SE9, UK",neighborhood,0.03008
vauxhall bridge road,"Vauxhall Bridge Rd, London SW1V, UK",route,0.02981
dulwich,"Dulwich, London SE21, UK",neighborhood,0.02953
euston,"Euston Station, Kings Cross, London NW1 2RT, UK",train_station,0.02926
bedford square,"Bedford Square Garden, Fitzrovia, London WC1B, UK",park,0.02925
kentish town,"Kentish Town, London NW5, UK",neighborhood,0.02913
waterloo bridge,"Waterloo Bridge, London SE1, UK",route,0.02886
zoological gardens,"ZSL London Zoo, Regent's Park, London NW1 4RY, UK",zoo,0.02849
sloane street,"Sloane St, London, UK",route,0.02823
liverpool street,"Liverpool Street Station, Liverpool St, London EC2M 7QH, UK",train_station,0.02733
holland park,"Holland Park, Ilchester Pl, Kensington, London W8 6LU, UK",park,0.02708
chiswick,"Chiswick, London, UK",neighborhood,0.02651
tavistock,"Tavistock Square Gardens, Kings Cross, London WC1H",establishment,0.02642
edgware road,"Edgware Rd, London, UK",route,0.02593
westminster hall,"Palace of Westminster, Westminster, London SW1A 0AA, UK",point_of_interest,0.02537
poland street,"Poland St, Soho, London, UK",route,0.0251
great marlborough street,"Great Marlborough St, London, UK",route,0.02478
st john s wood,"Saint John's Wood, London NW8, UK",neighborhood,0.02462
aldgate,"Aldgate, London EC3N, UK",route,0.02396
grosvenor street,"Grosvenor Square, Mayfair, London W1K, UK",route,0.02392
gower street,"Gower St, London, UK",route,0.0232
spitalfields,"Spitalfields, 78 Quaker St, London E1 6SW, UK",point_of_interest,0.02283
roehampton,"University of Roehampton, Erasmus House, Roehampton Ln, London SW15 5PU, UK",university,0.02271
dorset street,"Dorset St, Marylebone, London W1U, UK",route,0.02271
marylebone,"Marylebone, London W1G, UK",neighborhood,0.02255
st pancras,"St Pancras International, Euston Rd, Kings Cross, London N1C 4QP, UK",train_station,0.02252
old bailey,"Central Criminal Court, The Old Bailey, London EC4M 7EH, UK",courthouse,0.02247
euston road,"Euston Rd, London, UK",route,0.02243
pentonville,"HMP Pentonville, Caledonian Rd, London N7 8TT, UK",point_of_interest,0.02235
hampstead heath,"Hampstead Heath, London NW3, UK",park,0.02223
sloane square,"Slone square, 1 W Eaton Pl, Belgravia, London SW1X 8LU, UK",lodging,0.02221
primrose hill,"Primrose Hill, London NW1, UK",neighborhood,0.02199
wardour street,"Wardour St, London, UK",route,0.02176
soho square,"Soho Square, Soho, London W1D, UK",route,0.02139
wapping,"Wapping, London E1W, UK",neighborhood,0.02139
mortlake,"Mortlake, London SW14, UK",neighborhood,0.02086
westminster abbey,"Westminster Abbey, 20 Deans Yd, Westminster, London SW1P 3PA, UK",church,0.02016
ludgate hill,"Ludgate Hill, London EC4M, UK",route,0.02003
hatton garden,"Hatton Garden, London EC1N, UK",route,0.01977
willesden,"Willesden, London NW10, UK",neighborhood,0.01976
cheapside,"Cheapside, London, UK",route,0.0193
leadenhall street,"Leadenhall St, London, UK",route,0.01917
south audley street,"S Audley St, Mayfair, London W1K, UK",route,0.01902
waterloo station,"Waterloo Station, Waterloo Rd, Lambeth, London SE1 8SW, UK",train_station,0.01834
camberwell,"Camberwell, London, UK",neighborhood,0.01784
albemarle street,"Albemarle St, London, UK",route,0.01771
regent s park,"The Regent's Park, Chester Rd, London NW1 4NR, UK",park,0.01769
wimpole street,"Wimpole St, Marylebone, London, UK",route,0.01701
tottenham,"Tottenham, London N17, UK",neighborhood,0.01694
notting hill gate,"Notting Hill Gate, London W11, UK",route,0.0168
welbeck street,"Welbeck St, Marylebone, London W1G, UK",route,0.01642
bermondsey,"Bermondsey, London SE16, UK",neighborhood,0.0164
cromwell road,"Cromwell Rd, Kensington, London, UK",route,0.01634
albert hall,"Royal Albert Hall, Kensington Gore, Kensington, London SW7 2AP, UK",point_of_interest,0.01631
west kensington,"West Kensington, London W14, UK",neighborhood,0.01628
limehouse,"Limehouse, London E14, UK",neighborhood,0.01607
bruton street,"Bruton St, Mayfair, London, UK",route,0.01605
fitzroy square,"Fitzroy Square Garden, Fitzroy Square, Kings Cross, London W1T, UK",park,0.01582
brompton road,"Brompton Rd, London, UK",route,0.01571
bayswater road,"Bayswater Rd, London, UK",route,0.01569
finchley,"Finchley, London N3, UK",neighborhood,0.01535
peckham,"Peckham, London SE15, UK",neighborhood,0.01479
clarges street,"Clarges St, Mayfair, London W1J, UK",route,0.01458
paddington station,"Paddington Station, Praed St, London W2, UK",train_station,0.01433
balham,"Balham, London SW12, UK",neighborhood,0.01431
ladbroke grove,"Ladbroke Grove, London, UK",route,0.01384
walthamstow,"Walthamstow, London, UK",neighborhood,0.0138
east end of london,"East End of London, 223 225 Whitechapel Road,Shadwell,London,E1 1DB, London E1, UK",point_of_interest,0.01377
kensington high street,"Kensington High St, London, UK",route,0.01374
kennington,"Kennington, London SE11, UK",neighborhood,0.01371
kilburn,"Kilburn, London NW6, UK",neighborhood,0.01358
finchley road,"Finchley Rd, London, UK",route,0.01323
bloomsbury square,"Bloomsbury Square Gardens, London WC1A, UK",park,0.0131
palace gardens,"Kensington Palace Gardens, London W8 4QP, UK",route,0.013
lowndes square,"Lowndes Square, Belgravia, London SW1X 9HB, UK",route,0.01296
campden hill,"Campden Hill, Kensington, London W8 7AD, UK",route,0.01286
ebury street,"Ebury St, Belgravia, London SW1W, UK",route,0.0128
marylebone road,"Marylebone Rd, London NW1, UK",route,0.01265
battersea park,"Battersea Park, London SW11 4NJ, UK",park,0.01262
great russell street,"Great Russell St, London WC1B, UK",route,0.01259
gloucester road,"Gloucester Road, Kensington, London SW7",subway_station,0.01238
charing cross,"Charing Cross, London WC2N, UK",neighborhood,0.01231
kensington palace,"Kensington Palace, Kensington Gardens, London W8 4PX, UK",museum,0.01227
lancaster gate,"Lancaster Gate, London W2 3NA, UK",route,0.01224
golden square,"Golden Square, Soho, London W1F, UK",route,0.01219
middle temple,"Middle Temple Venue Hire, Middle Temple Lane, London EC4Y 9AT, UK",point_of_interest,0.01218
finsbury park,"Finsbury Park, Endymion Rd, Harringay, London N4 1EE, UK",park,0.01216
euston square,"Euston Square London Underground Station, Euston Square, Euston Rd, Kings Cross, London NW1 2BN, UK",train_station,0.01212
great portland street,"Great Portland St, London, UK",route,0.01173
tate gallery,"Tate Modern, Bankside, London SE1 9TG, UK",store,0.01161
portobello road,"Portobello Rd, London, UK",route,0.01147
white hall,"Whitehall, London, UK",route,0.01147
belsize park,"Belsize Park, London NW3, UK",neighborhood,0.01142
brick lane,"Brick Ln, London, UK",route,0.01132
west end of london,"DoubleTree by Hilton Hotel London - West End, 92 Southampton Row, London WC1B 4BH, UK",lodging,0.01116
maida vale,"Maida Vale, London W9, UK",neighborhood,0.01104
blackfriars bridge,"Blackfriars Bridge, Blackfriars Bridge, London SE1, UK",point_of_interest,0.01099
bethnal green,"Bethnal Green, London E2, UK",neighborhood,0.0108
mile end road,"Mile End Rd, London E1 4LJ, UK",route,0.01078
british museum,"The British Museum, Great Russell St, London WC1B 3DG, UK",museum,0.01069
bow street,"Bow St, London WC2E 7AU, UK",route,0.01051
eastcheap,"Eastcheap, London EC3V 0EJ, UK",route,0.01031
westbourne grove,"Westbourne Grove, London, UK",route,0.01024
threadneedle street,"Threadneedle St, London EC2R 8AY, UK",route,0.01021
fulham palace road,"Fulham Palace Rd, London W6 8JA, UK",route,0.01018
cheyne walk,"Cheyne Walk, London SW3 5TS, UK",route,0.01012
west hill,"West Hill, London SW18 1RB, UK",route,0.0101
eegent street,"Regent St, London, UK",route,0.01005
dean street,"Dean St, London W1D, UK",route,0.01001
dover street,"Dover Street Market, 17-18 Dover St, Mayfair, London W1S 4LT, UK",store,0.00998
clapham junction,"Clapham Junction, London SW11",train_station,0.00985
london town,"London, UK",locality,0.00981
albert memorial,"The Albert Memorial, Kensington Gardens, London W2 2UH, UK",point_of_interest,0.00977
wigmore street,"Wigmore St, Marylebone, London W1U, UK",route,0.00967
old kent road,"Old Kent Rd, London, UK",route,0.00965
dalston,"Dalston, London E8, UK",neighborhood,0.00935
old compton street,"Old Compton St, London W1D, UK",route,0.00932
garamond,"Garamond House, 181 Grove Rd, Walthamstow, London E17 9BZ, UK",premise,0.00921
uxbridge road,"Uxbridge Rd, London W5 3LD, UK",route,0.00912
connaught,"The Connaught, Carlos Pl, Mayfair, London W1K 2AL, UK",lodging,0.00906
muswell hill,"Muswell Hill, London N10, UK",neighborhood,0.00905
manchester square,"Manchester Square, Marylebone, London W1U, UK",route,0.00896
stepney,"Stepney, London E1, UK",neighborhood,0.00888
hornsey,"Hornsey, London N8, UK",neighborhood,0.00887
gloucester place,"Gloucester Pl, Marylebone, London NW1 6BU, UK",route,0.00879
st james s hall,"Saint James Hall, London N1, UK",point_of_interest,0.00871
paternoster square,"Corney & Barrow Paternoster Square, 10 Paternoster Sq, London EC4M 7DX, UK",bar,0.00865
whitechapel road,"Whitechapel Rd, London E1, UK",route,0.00863
kensal green,"Kensal Green, London NW10, UK",neighborhood,0.0086
stoke newington,"Stoke Newington, London, UK",neighborhood,0.00838
minories,"Minories, London EC3N, UK",route,0.00829
moorfields,"Moorfields Eye Hospital NHS Foundation Trust, 162 City Rd, London EC1V 2PD, UK",hospital,0.00826
st george s hospital,"St George's Hospital, Blackshaw Rd, Tooting, London SW17 0QT, UK",hospital,0.00825
marlborough street,"Great Marlborough St, London, UK",route,0.00817
parliament square,"Parliament Square, Westminster, London SW1, UK",point_of_interest,0.00813
south ken,"South Kensington, London SW7, UK",neighborhood,0.00804
south kensington museum,"Victoria and Albert Museum, Cromwell Rd, Knightsbridge, London SW7 2RL, UK",art_gallery,0.00798
gracechurch street,"Gracechurch St, London EC3V, UK",route,0.00795
fairacre,"Fairacre, 4-7 Manchester St, Marylebone, London W1U 3AE, UK",establishment,0.00795
west hampstead,"West Hampstead, London NW6, UK",neighborhood,0.00795
fenchurch street,"Fenchurch Street Station, Fenchurch Street station, Fenchurch Place, London, UK EC3M 4AJ, UK",train_station,0.00788
euston station,"Euston Station, Kings Cross, London NW1 2RT, UK",train_station,0.00785
putney bridge,"Putney Bridge Clinic, 11 Montserrat Rd, London SW15 2LD, UK",health,0.00782
mortimer street,"Mortimer St, London, UK",route,0.00769
caledonian road,"Caledonian Rd, London N1 0NG, UK",route,0.00768
